Project Name:,Walmart,,,,,,,,,,,
Author Name:,Maulik Nai,,,,,,,,,,,
Date:,,,,,,,,,,,,
TestCase ID,TestCase Name,TestCase Description,Precondition,Steps,Test Data,Expected Result,Actual Result,Status,Bug ID,Requirement ID,TestCase Type,Comments
TC17,Password With Numbers,Verify that password with numeric characters is accepted,On password creation page,"1. Enter valid password
2. Submit",Password: Abc123!,Password accepted,As expected,Pass,,,Functional,
TC18,Missing First Name,Verify error when first name is not provided,On account creation page,"1. Leave first name blank
2. Fill other fields
3. Click ""Continue""",,"Error: ""First name is required""",As expected,Pass,,,Negative,
TC19,Missing Last Name,Verify error when last name is not provided,On account creation page,"1. Leave last name blank
2. Fill other fields
3. Click ""Continue""",,"Error: ""Last name is required""",As expected,Pass,,,Negative,
TC20,Missing Email/Phone,Verify error when no contact info is provided,On account creation page,"1. Leave email and phone fields blank
2. Click ""Continue""",,"Error: ""Provide phone number or email""",As expected,Pass,,,Negative,
TC21,Password Hidden by Default,Verify password is not visible by default,On account creation page,View password field,,"Characters are masked (e.g., •••••)",As expected,Pass,,,Functional,
TC22,Show Password Visibility,Verify clicking 'Show' makes password visible,On account creation page,"1. Click 'Show' icon
2. View password field",,Password becomes visible,As expected,Pass,,,Functional,
TC23,Valid OTP Entry,Verify correct OTP input allows continuation,On OTP verification page,Enter valid OTPClick 'Submit',Valid OTP code,User proceeds to next step,As expected,Pass,,,Functional,
TC24,Invalid OTP Entry,Verify incorrect OTP input is rejected,On OTP verification page,Enter invalid OTPSubmit,Invalid OTP code,"Error: ""Invalid OTP"", stays on OTP screen",As expected,Pass,,,Negative,
TC25,Sign Out Functionality,Verify user can sign out,User is logged in,Click 'Sign Out',,User is logged out and redirected,As expected,Pass,,,Functional,
TC26,Forgot Password Link,Verify 'Forgot Password' link is clickable,On sign-in page,Click 'Forgot Password',,Redirects to password recovery,As expected,Pass,,,Functional,
TC27,Change Contact Info Link,Verify 'Change' link allows updating email/phone,On OTP screen,Click 'Change' on contact info,,User can edit and re-enter contact info,As expected,Pass,,,Functional,
TC28,Use Code Button Accessibility,Verify 'Use Code' button is accessible,On OTP screen,Click 'Use Code',,Takes user to code entry option,As expected,Pass,,,Functional,
TC29,Resend OTP Functionality,Verify OTP can be resent by clicking 'Resend Code',On OTP screen,Click 'Resend Code',,New OTP is sent and received,As expected,Pass,,,Functional,
TC30,Repeat of Valid OTP Entry,Verify valid OTP still accepted in repeated scenario,On OTP screen,Enter valid OTP againSubmit,Another valid OTP,User proceeds to next step,As expected,Pass,,,Functional,
TC31,Repeat of Invalid OTP Entry,Verify repeated invalid OTP entries are still rejected,On OTP screen,Enter wrong OTP againSubmit,Another invalid OTP,Error shown; user remains on OTP screen,As expected,Pass,,,Negative,
TC32,Sign In Keep Current Password Option,Verify selecting 'Sign In and Keep Current Password' works,On reset password screen,Select optionConfirm,,Redirected to homepage,As expected,Pass,,,Functional,
TC33,Create New Password Link,Verify 'Create New Password' button is clickable,On password recovery screen,Click 'Create New Password',,Redirected to set new password screen,As expected,Pass,,,Functional,
TC34,Redirect After Keep Current Password,Verify redirect after choosing to keep current password,After option selection,Select optionConfirm,,Logged in and redirected to homepage,As expected,Pass,,,Functional,
TC35,Set Valid New Password,Verify user can set new password following requirements,On password reset screen,Enter strong passwordConfirm,Password: Abc@1234,Password set and user logged in,As expected,Pass,,,Functional,
TC36,Sign In After Password Reset,Verify sign-in works after password reset and redirects home,After setting new password,Login using new password,New credentials,User logged in and redirected to homepage,As expected,Pass,,,Functional,
TC37,OTP Timeout Handling,Verify behavior when OTP input times out,"User is on OTP verification page after clicking ""Continue""","1. Enter valid contact
2. Click ""Continue""
3. Wait 5+ minutes without entering OTP",Email: test@mail.com / Phone: 9876543210,"Session expires, user sees ""OTP expired"" message with option to resend",As expected,Pass,,,Negative,Tests session expiration and timeout handling
